region,Year,"average_value_Adjusted net enrollment rate, primary, female (% of primary school age children)","average_value_Adjusted net enrollment rate, primary, male (% of primary school age children)","average_value_School enrollment, secondary, female (% gross)","average_value_School enrollment, secondary, male (% gross)","average_value_School enrollment, tertiary, female (% gross)","average_value_School enrollment, tertiary, male (% gross)","average_value_Fertility rate, total (births per woman)","average_value_Life expectancy at birth, female (years)","average_value_Life expectancy at birth, male (years)","average_value_Survival to age 65, female (% of cohort)","average_value_Survival to age 65, male (% of cohort)"
East Asia & Pacific,1970.0,86.15960223333333,90.16941076666667,38.568046212792396,45.72487982483137,7.025611505564302,11.0824521735825,4.5681705882352945,62.6664294117647,57.46078823529412,63.61369154870588,52.67130909647059
East Asia & Pacific,1980.0,94.6028667037037,95.67524614814815,56.07016143410925,59.09887820936384,16.27942434113473,21.535200470998177,3.662405882352941,67.17311176470588,61.957288235294115,70.47349971658824,59.80704911529411
East Asia & Pacific,1990.0,89.83477227380952,92.11404444047619,62.902436282679446,63.58012309302843,27.42719431536066,29.62903833958838,2.907588235294118,70.55634117647058,65.26682352941177,75.01964014588235,64.56123304352941
East Asia & Pacific,2000.0,91.56398197619048,92.48232681547618,73.10609821319579,71.44468548726555,29.4178218580948,30.356735594802426,2.3749235294117645,73.58579999999999,68.30250588235295,79.07618257882352,69.18714464823529
East Asia & Pacific,2010.0,94.70945996825397,95.42260227513228,90.01163396678444,89.25221883888022,50.31873727196394,43.842788419338184,2.181976470588235,76.46414117647059,71.16623529411764,82.83505220235294,73.27869862352942
East Asia & Pacific,2020.0,,,,,,,,,,,
Europe & Central Asia,1970.0,94.64621768518518,94.09477416446208,76.03138670574857,79.10101690961238,13.730251274210751,19.502869085504134,2.8663005255255256,72.47272222222223,66.16798888888889,79.33781306,66.2957396454054
Europe & Central Asia,1980.0,93.68378704166666,92.72636596547619,90.36127285304062,90.68415021803182,20.84635013402012,22.991470888513426,2.367780870870871,74.68978333333334,68.0432,81.96946464918919,68.71412138378378
Europe & Central Asia,1990.0,93.85284503103978,93.78382993917748,98.18737549659002,97.16016300915798,35.6965698375216,32.67644498253651,1.9681064564564565,76.2260027027027,69.40091268768768,83.83087437243243,70.77001802324324
Europe & Central Asia,2000.0,94.06621725819465,94.16877065198938,101.38224616253099,100.5217280596378,57.279356587458686,45.11431770860508,1.755704054054054,78.32095945945946,72.13235945945947,86.45678983621622,75.03418473189188
Europe & Central Asia,2010.0,94.90341863320312,94.69312130013662,106.33826323508443,105.6225823374544,67.02958365929798,52.84472834760969,1.7993486486486485,80.50615135135135,74.9098864864865,88.99278991891892,79.38272789891892
Europe & Central Asia,2020.0,,,,,,,,,,,
Latin America & Caribbean,1970.0,82.53375994047619,83.34494834166667,41.659475855737426,40.23390576607681,7.497658334272721,10.703308311275075,4.792292,64.961572,60.509575999999996,67.0620000168,58.1171051432
Latin America & Caribbean,1980.0,82.77492490252526,82.66462440000001,59.777618963438954,56.03220182981247,16.001129796145236,16.590413791005737,3.9508,69.21437999999999,64.079824,72.9880949696,63.022352060799996
Latin America & Caribbean,1990.0,90.09495092896825,89.26752581507937,65.81405818188729,61.85480072751587,18.823003550108535,16.73239680632567,3.2299079999999996,72.635812,67.21194399999999,77.26973529520001,66.9579262352
Latin America & Caribbean,2000.0,93.70217616624208,93.46708207541624,81.69348294155847,77.69274122905134,41.576356325176256,30.00229155539131,2.613196,75.269384,69.71158,80.5560173336,70.509058396
Latin America & Caribbean,2010.0,91.69296468784765,91.4829674159205,90.63261137840924,86.8076487998445,52.369323665318475,38.93385767303147,2.24924,77.35974,71.734992,83.057632584,73.4544988552
Latin America & Caribbean,2020.0,,,,,,,,,,,
Middle East & North Africa,1970.0,59.876324360670196,80.01731805234888,29.693676694208744,43.13353710551547,4.084982582910914,7.864639716394093,6.6691,60.6468625,58.00342500000001,61.28826771647059,55.15660257411764
Middle East & North Africa,1980.0,76.03803934747475,86.25265062727274,50.252768836678804,61.54087092400074,11.637198582190601,13.795131983822866,5.76169375,67.29554375000001,63.291875000000005,71.01563435411765,63.15799510588236
Middle East & North Africa,1990.0,80.1966536638889,86.27558285833334,64.89670681754947,68.34203527887543,17.513011071681973,13.892713341845413,4.2629882352941175,71.53478235294116,68.31089411764705,77.75331168235293,71.26244404117647
Middle East & North Africa,2000.0,90.23580842301587,91.72485934444444,77.32226862865171,78.59857841292899,25.845934353545637,22.063825897452748,3.1496647058823526,74.4328294117647,71.09129411764705,82.25611760470588,76.15243116470589
Middle East & North Africa,2010.0,92.1375119510582,92.75902263227513,86.75141406740461,87.9719759347704,46.819321709468376,33.05069738936313,2.745235294117647,76.44863529411765,72.83922352941177,85.33514737529413,79.40653445529412
Middle East & North Africa,2020.0,,,,,,,,,,,
North America,1970.0,,,90.333187950982,92.20250786675349,46.19872665405274,54.80274963378906,1.9184999999999999,76.7285,69.2845,82.99419851,69.59453493
North America,1980.0,95.2281325,95.85364625,95.93637084960935,94.10744361877441,64.31845359802246,56.394398689270034,1.7760500000000001,78.9115,71.955,85.76003537,74.82306366
North America,1990.0,96.38321125,97.10856125,100.53700510660804,100.03690550062385,90.6125674777561,72.52588187323677,1.828625,80.08500000000001,73.97,87.44799379999999,78.79457526000002
North America,2000.0,99.73112,99.1522,97.0697093963623,96.98801574707036,87.40567626953123,62.99722061157227,1.81265,81.27,76.34,88.88475833,82.20103284000001
North America,2010.0,97.15849375,96.98791875,103.45260281032992,103.23930697970918,90.09836408827046,66.2259750366211,1.693975,82.545,78.005,89.84798199,83.93065391
North America,2020.0,,,,,,,,,,,
South Asia,1970.0,35.054165,66.22369357142857,7.720768131713069,22.468367687861125,0.9651119881868361,3.317188712954521,6.1804125,49.438712499999994,48.93945,43.8089007875,42.400235455
South Asia,1980.0,51.6596775,77.867936875,22.314946797461737,36.78923158146086,2.2551551935076715,6.0687064578135805,5.6888375,55.58200000000001,54.53075,52.58280836,49.8019379625
South Asia,1990.0,58.53466166666667,70.147753,39.92816510518391,49.82372887293498,3.274569848179818,6.505472382903099,4.613225,61.703725,59.75715,61.8016677275,57.1130078725
South Asia,2000.0,76.09126718333333,82.68742313333334,41.62078522364299,48.33709012031555,5.606461219688256,8.857914705624188,3.489625,67.62201250000001,65.0980375,70.516638005,65.1347564775
South Asia,2010.0,81.91577157407407,84.7808636111111,64.87708795819965,67.66168984731038,16.64416800816854,15.978721398853121,2.7217000000000002,71.80675,68.868425,76.788636295,71.06697901
South Asia,2020.0,,,,,16.9726505279541,15.9781398773193,,,,,
Sub-Saharan Africa,1970.0,50.55606397380952,58.43086168888889,7.774502880612863,15.091619027551982,0.24782809824407717,1.2163599066015711,6.917985714285715,48.08091785714286,44.952685714285714,42.850089909999994,36.315844649285715
Sub-Saharan Africa,1980.0,46.80436266858975,56.624790276709405,15.536697544906923,25.125530557203714,0.7788701310492725,2.641958812862907,6.713071428571429,51.814296428571424,48.47104642857143,47.91555383857143,40.626150842142856
Sub-Saharan Africa,1990.0,50.73620875793651,60.56844353174603,21.313216627900395,26.553593793383016,1.625453471963531,3.2391238892944783,6.068617857142857,51.52828928571429,48.094614285714286,45.81912030071429,38.2294888
Sub-Saharan Africa,2000.0,67.57021864665032,72.73133218112744,30.368066460952587,37.264952898175956,2.9554564674002135,5.512287089662019,5.509414285714286,54.13830357142857,51.24197857142857,48.09386763714286,41.52520833357143
Sub-Saharan Africa,2010.0,79.11707561245422,82.23649810173993,40.87135812971052,46.15146726551264,8.484058982371465,11.496199694537973,4.8822214285714285,61.82370000000001,58.48553571428572,60.58003489714285,53.04941508714286
Sub-Saharan Africa,2020.0,,,,,,,,,,,
